Cleanup_ID,Country,State,Zone,GPS,Cleanup_type,Cleanup_date,Animal,Animal_Status,
5931,United States,"Washington, USA","Bainbridge Island, WA, USA","47.624677852413, -122.50511169434",land,09/17/2016,crab,injured,
5931,United States,"Washington, USA","Bainbridge Island, WA, USA","47.624677852413, -122.50511169434",land,09/17/2016,crab,injured,
5946,United States,"California, USA","Chester, CA 96020, USA","40.311134235894, -121.23030409821",land,09/17/2016,Racoon,dead,
5952,United States,"Florida, USA","Citrus County, FL, USA","28.836683246558, -82.650489807129",watercraft,09/17/2016,turtle,dead,
5952,United States,"Florida, USA","Citrus County, FL, USA","28.836683246558, -82.650489807129",watercraft,09/17/2016,crab,dead,
5952,United States,"Florida, USA","Citrus County, FL, USA","28.836683246558, -82.650489807129",watercraft,09/17/2016,owl,dead,
5953,United States,"Florida, USA","Daytona Beach, FL, USA","29.209777279053, -81.016702651978",land,09/17/2016,Pufferfish,dead,
5953,United States,"Florida, USA","Daytona Beach, FL, USA","29.209777279053, -81.016702651978",land,09/17/2016,2 Seagulls,dead,
5961,United States,"Delaware, USA","Sussex County, DE, USA","38.787637526712, -75.088119506836",land,09/17/2016,horeshoe crab,dead,
5962,United States,"Delaware, USA","Lewes, DE 19958, USA","38.786433769908, -75.101637840271",land,09/17/2016,5 seagulls,dead,
5976,United States,"Delaware, USA","Kent County, DE, USA","39.136996057984, -75.409705638885",land,09/17/2016,shark,dead,
5978,United States,"Maryland, USA","Queen Anne's County, MD, USA","38.990503376193, -76.32682800293",land,09/17/2016,BIRDS,dead,
5978,United States,"Maryland, USA","Queen Anne's County, MD, USA","38.990503376193, -76.32682800293",land,09/17/2016,FISH,dead,
5980,United States,"Maryland, USA","Kent Narrows, MD, USA","38.979436670639, -76.248609423637",land,09/17/2016,BIRD,dead,
5982,United States,"Maryland, USA","Stevensville, MD 21666, USA","38.981667664218, -76.334509849548",land,09/17/2016,FISH,dead,
5982,United States,"Maryland, USA","Stevensville, MD 21666, USA","38.981667664218, -76.334509849548",land,09/17/2016,CRABS,dead,
5985,United States,"Maryland, USA","Kent Narrows, MD, USA","38.972588957925, -76.249215602875",land,09/17/2016,FISH,dead,
5985,United States,"Maryland, USA","Kent Narrows, MD, USA","38.972588957925, -76.249215602875",land,09/17/2016,EEL,dead,
